Molecule Name,Smiles,Standard Type,Standard Value,Standard Units,pChEMBL Value,Target Name,Comment,Action Type,Assay Description,Document Year
,Clc1cc(-c2c[nH]c3ncccc23)nc(NC2CCOCC2)n1,Ki,251.19,nM,6.6,Glycogen synthase kinase-3 beta,active,,PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: GSK3B,
SOTRASTAURIN,CN1CCN(c2nc(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c3ccccc3n2)CC1,Ki,199.53,nM,6.7,Glycogen synthase kinase-3 beta,active,,PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: GSK3B,
,Cc1c(NC(=O)c2ccc(C(C)(C)C)cc2)cccc1-c1cc(Nc2ccc(C(=O)N3CCOCC3)cn2)c(=O)n(C)c1,Ki,3981.07,nM,,Glycogen synthase kinase-3 beta,inactive,,PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: GSK3B,
,Cc1n[nH]c2ccc(-c3cncc(OCCN)c3)cc12,Ki,2511.89,nM,5.6,Glycogen synthase kinase-3 beta,active,,PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: GSK3B,
,COc1ccc(-n2ccc3cnc(Nc4cc(OC)c(OC)c(OC)c4)nc32)cc1,Ki,3981.07,nM,,Glycogen synthase kinase-3 beta,inactive,,PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: GSK3B,
,CNCCOc1cncc(-c2ccc3[nH]nc(C)c3c2)c1,Ki,2511.89,nM,5.6,Glycogen synthase kinase-3 beta,active,,PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: GSK3B,
,CCN1CCN(CCCC(=O)Nc2n[nH]c3nnc(-c4cccc(F)c4F)cc23)CC1,Ki,25.12,nM,7.6,Glycogen synthase kinase-3 beta,active,,PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: GSK3B,
,NC1(Cc2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,IC50,660.0,nM,6.18,Glycogen synthase kinase-3 beta,,,Inhibition of GSK3-beta in human U87MG cells by ELISA,2008.0
,Clc1cccc(CSc2nnc(-c3ccncc3)o2)c1,IC50,820.0,nM,6.09,Glycogen synthase kinase-3 beta,,,Inhibitory concentration against human Glycogen synthase kinase-3,2002.0
,Cc1ccc(N2CCN(CCCNC(=O)c3nc(-c4cccnc4)no3)CC2)cc1C,IC50,350.0,nM,6.46,Glycogen synthase kinase-3 beta,,,Inhibition of GSK3-beta assessed as breakdown of glycogen synthase derived substrate peptide by ADP hunter assay in presence of 100 uM ATP,2008.0
,O=C(NCCCN1CCN(c2cccc(Cl)c2)CC1)c1nc(-c2ccncc2)no1,IC50,4000.0,nM,5.4,Glycogen synthase kinase-3 beta,,,Inhibition of GSK3-beta assessed as breakdown of glycogen synthase derived substrate peptide by ADP hunter assay in presence of 100 uM ATP,2008.0
,Cc1ccc(N2CCN(CCCNC(=O)c3nc(-c4cncnc4)no3)CC2)c(C)c1,IC50,3000.0,nM,5.52,Glycogen synthase kinase-3 beta,,,Inhibition of GSK3-beta assessed as breakdown of glycogen synthase derived substrate peptide by ADP hunter assay in presence of 100 uM ATP,2008.0
,Cc1cccc(N2CCN(CCCNC(=O)c3nc(-c4cccnc4)no3)CC2)c1C,IC50,630.0,nM,6.2,Glycogen synthase kinase-3 beta,,,Inhibition of GSK3-beta assessed as breakdown of glycogen synthase derived substrate peptide by ADP hunter assay in presence of 100 uM ATP,2008.0
,COc1ccccc1C1=C(N2CCc3ccccc32)C(=O)NC1=O,IC50,187.0,nM,6.73,Glycogen synthase kinase-3 beta,,,Inhibition of recombinant GSK3-beta,2008.0
,CSc1ccc(NC2=C(c3cccc([N+](=O)[O-])c3)C(=O)NC2=O)cc1,IC50,152.0,nM,6.82,Glycogen synthase kinase-3 beta,,,Inhibition of recombinant GSK3-beta,2008.0
,O=C1NC(=O)C(c2cccc(Cl)c2)=C1Nc1cccc(O)c1,IC50,1478.0,nM,5.83,Glycogen synthase kinase-3 beta,,,Inhibition of recombinant GSK3-beta,2008.0
,O=C1NC(=O)C(c2ccccc2[N+](=O)[O-])=C1Nc1cccc(Cl)c1,IC50,104.0,nM,6.98,Glycogen synthase kinase-3 beta,,,Inhibition of recombinant GSK3-beta,2008.0
,COc1ccccc1C1=C(Nc2ccc(SC)cc2)C(=O)NC1=O,IC50,110.0,nM,6.96,Glycogen synthase kinase-3 beta,,,Inhibition of recombinant GSK3-beta,2008.0
,Cc1cc(-c2cc(-c3ccccc3)[nH]c(=O)n2)ccc1O,IC50,5280.0,nM,,Glycogen synthase kinase-3 beta,,,Inhibition of human GSK3-beta expressed in CHO AA8 cells co-expressing human tau protein after 2 hrs,2011.0
,COCCOc1cnn2ncc(-c3ccnc(Nc4cccc(OC)c4)n3)c2c1,Ki,80.0,nM,7.1,Glycogen synthase kinase-3 beta,,,Binding affinity for human glycogen synthase kinase 3 beta,2004.0
,Nc1n[nH]c2ccc(-c3nnn(Cc4ccccc4)c3I)cc12,Ki,19.95,nM,7.7,Glycogen synthase kinase-3 beta,active,,PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: GSK3B,
,CN(C)C1CCCC(Nc2nc(Cl)cc(-c3c[nH]c4ncccc34)n2)C1,Ki,3981.07,nM,,Glycogen synthase kinase-3 beta,inactive,,PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: GSK3B,
,CC(C)(C)Oc1cc(-c2ccncc2)cc2[nH]nc(N)c12,Ki,630.96,nM,6.2,Glycogen synthase kinase-3 beta,active,,PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: GSK3B,
,CCCCC(=O)Nc1cc(-c2c[nH]c3ncccc23)cc(Cl)n1,Ki,3981.07,nM,,Glycogen synthase kinase-3 beta,inactive,,PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: GSK3B,
,Cn1c(NCC(N)Cc2ccccc2)nc(-c2ccncc2)c(-c2ccc3ccccc3c2)c1=O,Ki,5011.87,nM,,Glycogen synthase kinase-3 beta,inactive,,PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: GSK3B,
,O=C(NC(CO)c1cc(Cl)cc(Cl)c1)c1ccc(-c2ccncc2)cc1,Ki,1000.0,nM,6.0,Glycogen synthase kinase-3 beta,active,,PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: GSK3B,
,O=c1c(NCc2ccc(Cl)cc2)c(Nc2ccncc2)c1=O,Ki,316.23,nM,6.5,Glycogen synthase kinase-3 beta,active,,PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: GSK3B,
,CC(C)n1nnc2ccc(-c3c(-c4ccc(F)cc4F)nc4occn34)cc21,Ki,1258.93,nM,5.9,Glycogen synthase kinase-3 beta,active,,PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: GSK3B,
,Cc1cc(C)c(C)c(OCCCc2c(C(=O)O)[nH]c3c(-c4ccccc4C)cccc23)c1,Ki,6309.57,nM,,Glycogen synthase kinase-3 beta,inactive,,PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: GSK3B,
,CC1CCN(C(=O)CO)CC1N(C)c1ncnc2[nH]ccc12,Ki,6309.57,nM,,Glycogen synthase kinase-3 beta,inactive,,PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: GSK3B,
,Cc1ccc(Cn2cc(-c3ccc4[nH]ncc4c3)nn2)c(C)c1,Ki,501.19,nM,6.3,Glycogen synthase kinase-3 beta,active,,PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: GSK3B,
,CC1CSc2c(C(=O)O)c(=O)c3cc(F)c(N4CCC(N)C4)cc3n21,Ki,1584.89,nM,5.8,Glycogen synthase kinase-3 beta,active,,PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: GSK3B,
,CS(=O)(=O)c1cccc(-c2cnn3c(C(N)=O)cc(-c4ccccc4)nc23)c1,Ki,1258.93,nM,5.9,Glycogen synthase kinase-3 beta,active,,PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: GSK3B,
,Cc1ccc(CNc2c(Nc3ccncc3)c(=O)c2=O)cc1,Ki,398.11,nM,6.4,Glycogen synthase kinase-3 beta,active,,PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: GSK3B,
,COc1ccc(-n2c(=O)sn(C)c2=O)cc1,IC50,2000.0,nM,5.7,Glycogen synthase kinase-3 beta,,,Inhibitory activity against recombinant rabbit Glycogen synthase kinase-3 beta,2002.0
,CCCCNc1nc(N)c(C(=O)c2ccccc2)s1,Ki,158.49,nM,6.8,Glycogen synthase kinase-3 beta,active,,PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: GSK3B,
,NC(Cc1c[nH]c2ccccc12)C(=O)Nc1cncc(C=Cc2ccncc2)c1,Ki,1995.26,nM,5.7,Glycogen synthase kinase-3 beta,active,,PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: GSK3B,
,CC(Nc1cncc(-n2cnc3ccc(C#N)cc32)n1)c1ccccc1F,Ki,630.96,nM,6.2,Glycogen synthase kinase-3 beta,active,,PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: GSK3B,
,CC(=O)Nc1nonc1-n1nnc(C(=O)NN=Cc2cccs2)c1-c1ccccc1,Ki,6309.57,nM,5.2,Glycogen synthase kinase-3 beta,active,,PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: GSK3B,
,CC1(N)CCN(c2cccnc2NC(=O)c2nc(-c3nc(N4CCOCC4)cc4ccccc34)cnc2N)CC1,IC50,3100.0,nM,5.51,Glycogen synthase kinase-3 beta,438374,,"GSKbeta Assay: Types of GSK-3 assay used to test the selectivity/off target potential compounds of the invention with respect to PKC Î±/Î¸ inhibition activity includes the following: Type 1: The GSK-3 specific peptide used in this assay was derived from the phosphorylation site of glycogen synthase and its sequence is: YRRAAVPPSPSLSRHSSPHQ(S)EDEEE (SEQ ID NO: 1). (S) is pre-phosphorylated as is glycogen synthase in vivo and the three consensus sites for GSK-3 specific phosphorylation are underlined. The buffer used to make up the glycogen synthase peptide and [γ-33P] ATP consisted of MOPS 25 mM, EDTA 0.2 mM, magnesium acetate 10 mM, Tween-20 0.01% and mercaptoethanol 7.5 mM at pH 7.00. The compounds were dissolved in dimethyl sulphoxide (DMSO) to a final concentration of 100 mM. Various concentrations were made up in DMSO and mixed with the substrate (GSK-3 peptide) solution (to a final concentration 20 uM) described in the above section along with rabbit or human GSK-3α and GSK-3β (final concentration 0.5 uM/mL enzyme). The reactions were initiated with the addition of [γ-33P] ATP (500 cpm/pmole) spiked into a mixture of ATP (final concentration of 10 uM). After 30 minutes at room temperature the reaction was terminated by the addition of 10 uL of H3PO4/O.OP/0 Tween-20 (2.5%). A volume (10 uL) of the mixture was spotted onto P-30 phosphocellulose paper (Wallac & Berthold, EG&G Instruments Ltd, Milton Keynes). The paper was washed four times in H3PO4 (0.5%), 2 minutes for each wash, air dried and the radioactive phosphate incorporated into the synthetic glycogen synthase peptide, which binds to the P-30 phosphocellulose paper, was counted in a Wallac microbeta scintillation counter Analysis of Data: Values for IC50 for each inhibitor were calculated by fitting a four-parameter logistic curve to the model: cpm=lower+(upper-lower)/(I+(concentration IC50)).",2016.0
,Nc1ncc(-c2ncnc3c2CCCC3)nc1C(=O)Nc1ncccc1N1CCC(N)CC1,IC50,1500.0,nM,5.82,Glycogen synthase kinase-3 beta,438382,,"GSKbeta Assay: Types of GSK-3 assay used to test the selectivity/off target potential compounds of the invention with respect to PKC Î±/Î¸ inhibition activity includes the following: Type 1: The GSK-3 specific peptide used in this assay was derived from the phosphorylation site of glycogen synthase and its sequence is: YRRAAVPPSPSLSRHSSPHQ(S)EDEEE (SEQ ID NO: 1). (S) is pre-phosphorylated as is glycogen synthase in vivo and the three consensus sites for GSK-3 specific phosphorylation are underlined. The buffer used to make up the glycogen synthase peptide and [γ-33P] ATP consisted of MOPS 25 mM, EDTA 0.2 mM, magnesium acetate 10 mM, Tween-20 0.01% and mercaptoethanol 7.5 mM at pH 7.00. The compounds were dissolved in dimethyl sulphoxide (DMSO) to a final concentration of 100 mM. Various concentrations were made up in DMSO and mixed with the substrate (GSK-3 peptide) solution (to a final concentration 20 uM) described in the above section along with rabbit or human GSK-3α and GSK-3β (final concentration 0.5 uM/mL enzyme). The reactions were initiated with the addition of [γ-33P] ATP (500 cpm/pmole) spiked into a mixture of ATP (final concentration of 10 uM). After 30 minutes at room temperature the reaction was terminated by the addition of 10 uL of H3PO4/O.OP/0 Tween-20 (2.5%). A volume (10 uL) of the mixture was spotted onto P-30 phosphocellulose paper (Wallac & Berthold, EG&G Instruments Ltd, Milton Keynes). The paper was washed four times in H3PO4 (0.5%), 2 minutes for each wash, air dried and the radioactive phosphate incorporated into the synthetic glycogen synthase peptide, which binds to the P-30 phosphocellulose paper, was counted in a Wallac microbeta scintillation counter Analysis of Data: Values for IC50 for each inhibitor were calculated by fitting a four-parameter logistic curve to the model: cpm=lower+(upper-lower)/(I+(concentration IC50)).",2016.0
,Cn1sc(=O)n(-c2ccccc2)c1=O,IC50,2000.0,nM,5.7,Glycogen synthase kinase-3 beta,,,Inhibitory activity against recombinant rabbit Glycogen synthase kinase-3 beta,2002.0
,COc1cccc(C(C)NC(=O)c2cc(C)c(-c3ccc4[nH]nc(C)c4c3)s2)c1,Ki,50.12,nM,7.3,Glycogen synthase kinase-3 beta,active,,PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: GSK3B,
,O=C(Nc1ccc(-c2ccc(=O)[nH]n2)cc1)Nc1cccc(C(F)(F)F)c1,Ki,3981.07,nM,,Glycogen synthase kinase-3 beta,inactive,,PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: GSK3B,
,CC(C)(O)CNc1cc(-c2c[nH]c3ncccc23)cc(Cl)n1,Ki,316.23,nM,6.5,Glycogen synthase kinase-3 beta,active,,PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: GSK3B,
,COc1cc(F)ccc1-c1c[nH]c(=O)c2cc(-c3ccncc3)sc12,IC50,5011.87,nM,5.3,Glycogen synthase kinase-3 beta,,,Inhibition of human flag-tagged GSK3-beta expressed in HEK-MSRII cells assessed as CRMP-2 phosphorylation by alphaLISA assay,2011.0
,N#Cc1sc(NCCNc2nc(-c3ccc(Cl)cc3Cl)cn3ccnc23)nc1N,IC50,16.0,nM,7.8,Glycogen synthase kinase-3 beta,213534,,"Biochemical Assay: The ingredients required for this purpose are mixed in a black 384-well microtiter plate with transparent base (from Greiner, catalog number 781092). The requirements in this connection for each well of the 384-well microtiter plate are 5 nM GSK3β (from Upstate, catalog number xy), 40 μM GSK3β substrate GSM (sequence H-RRRPASVPPSPSLSRHS-(pS)-HQRR, from Upstate, catalog number 2-533), 30 μM nicotinamide adenine dinucleotide NADH (Roche Diagnostics, catalog number 10107735), 50 μM adenosine triphosphate ATP (from Sigma, catalog number A7966) and 2 mM phosphoenolpyruvate (from Roche, catalog number 128112). The required reaction buffer in which the biochemical reaction takes place consists of 50 mM Trizma hydrochloride Tris-HCl pH: 7.5 (from Sigma, catalog number T3253), 5 mM magnesium chloride MgCl2 (from Sigma, catalog number M8266), 0.2 mM DL-dithiothreitol DTT (from Sigma, catalog number D9779), 2 mM ethylenediaminetetraacetic acid EDTA (from Sigma, catalog number E6758), 0.01% Triton X-100 (from Sigma, catalog number T8787) and 0.05% bovine serum albumin BSA (from Sigma, catalog number B4287). Active substances are dissolved in dimethyl sulfoxide DMSO (from Sigma, catalog number D8418) in a concentration of 10 mM. Active substances are added in serial concentrations of 10 μM, 1 μM, 0.1 μM, 0.01 μM, 0.001 μM, 0.0001 μM, 0.00001 μM, 0.000001 μM to the mixtures of the biochemical reaction. As control, dimethyl sulfoxide is added instead of substance in a final concentration of 0.1%. The reaction is incubated at 30° C. for 2 hours and then the resulting fluorescence is measured in a Tecan Safire-XFLUOR4 instrument, version V4.50 (serial number 12901300283) with the specifications: measurement mode−fluorescence measured from below, extinction wavelength 340 nm, emission wavelength 465 nm, slit width extinction 5 nm, slit width emission 5 nm, gain mode 120, delay 0 μs, number of light flashes per measurement 3, and an integration time of 40 μs.",2013.0
,N#Cc1sc(NC2CCCN(c3nc(-c4ccc(Cl)cc4Cl)cn4nc(C(=O)O)cc34)C2)nc1N,IC50,3.0,nM,8.52,Glycogen synthase kinase-3 beta,213539,,"Biochemical Assay: The ingredients required for this purpose are mixed in a black 384-well microtiter plate with transparent base (from Greiner, catalog number 781092). The requirements in this connection for each well of the 384-well microtiter plate are 5 nM GSK3β (from Upstate, catalog number xy), 40 μM GSK3β substrate GSM (sequence H-RRRPASVPPSPSLSRHS-(pS)-HQRR, from Upstate, catalog number 2-533), 30 μM nicotinamide adenine dinucleotide NADH (Roche Diagnostics, catalog number 10107735), 50 μM adenosine triphosphate ATP (from Sigma, catalog number A7966) and 2 mM phosphoenolpyruvate (from Roche, catalog number 128112). The required reaction buffer in which the biochemical reaction takes place consists of 50 mM Trizma hydrochloride Tris-HCl pH: 7.5 (from Sigma, catalog number T3253), 5 mM magnesium chloride MgCl2 (from Sigma, catalog number M8266), 0.2 mM DL-dithiothreitol DTT (from Sigma, catalog number D9779), 2 mM ethylenediaminetetraacetic acid EDTA (from Sigma, catalog number E6758), 0.01% Triton X-100 (from Sigma, catalog number T8787) and 0.05% bovine serum albumin BSA (from Sigma, catalog number B4287). Active substances are dissolved in dimethyl sulfoxide DMSO (from Sigma, catalog number D8418) in a concentration of 10 mM. Active substances are added in serial concentrations of 10 μM, 1 μM, 0.1 μM, 0.01 μM, 0.001 μM, 0.0001 μM, 0.00001 μM, 0.000001 μM to the mixtures of the biochemical reaction. As control, dimethyl sulfoxide is added instead of substance in a final concentration of 0.1%. The reaction is incubated at 30° C. for 2 hours and then the resulting fluorescence is measured in a Tecan Safire-XFLUOR4 instrument, version V4.50 (serial number 12901300283) with the specifications: measurement mode−fluorescence measured from below, extinction wavelength 340 nm, emission wavelength 465 nm, slit width extinction 5 nm, slit width emission 5 nm, gain mode 120, delay 0 μs, number of light flashes per measurement 3, and an integration time of 40 μs.",2013.0
,COc1ccc(-c2ccnc(N[C@H]3CO[C@H]4[C@@H]3OC[C@@H]4NC(=O)Nc3cccc(C(F)(F)F)c3)n2)cc1,IC50,9750.0,nM,5.01,Glycogen synthase kinase-3 beta,,INHIBITOR,Inhibition of recombinant human GSK-3beta using phosphorylated polypeptide as substrate incubated for 30 mins in presence of ATP by kinase-glo luminescence assay,2021.0
,COc1ccccc1C1=C(Nc2ccccc2)C(=O)NC1=O,IC50,216.0,nM,6.67,Glycogen synthase kinase-3 beta,,,Inhibition of recombinant GSK3-beta,2008.0
,CSc1ccc(NC2=C(c3ccccc3Cl)C(=O)NC2=O)cc1,IC50,161.0,nM,6.79,Glycogen synthase kinase-3 beta,,,Inhibition of recombinant GSK3-beta,2008.0
,O=C(NCCCN1CCN(c2ccccc2)CC1)c1nc(-c2ccncc2)no1,IC50,5000.0,nM,5.3,Glycogen synthase kinase-3 beta,,,Inhibition of GSK3-beta assessed as breakdown of glycogen synthase derived substrate peptide by ADP hunter assay in presence of 100 uM ATP,2008.0
,Cc1ccc(Cl)cc1N1CCN(CCCNC(=O)c2nc(-c3cccnc3)no2)CC1,IC50,2000.0,nM,5.7,Glycogen synthase kinase-3 beta,,,Inhibition of GSK3-beta assessed as breakdown of glycogen synthase derived substrate peptide by ADP hunter assay in presence of 100 uM ATP,2008.0
,CNC(=O)c1sc(-c2ccnc(NC(=O)C3CC3)c2)nc1OCCC#Cc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,IC50,1000.0,nM,,Glycogen synthase kinase-3 beta,,,Inhibition of N-terminal His6-tagged recombinant human GSK3beta H350L mutant expressed in baculovirus infected Sf21 cells using GSM as substrate incubated for 30 mins in presence of ATP by Kinase-Glo luminescent assay,2021.0
,O=C1Cc2c([nH]c3c(Br)cccc23)-c2ccccc2N1,IC50,599.79,nM,6.22,Glycogen synthase kinase-3 beta,,,Inhibitory activity against glycogen synthase kinase-3 beta purified from insect sf9 cells,2004.0
,Cc1ccc(NC(=O)c2ccnc3[nH]c(-c4ccc(F)cc4)nc23)cn1,IC50,8.0,nM,8.1,Glycogen synthase kinase-3 beta,,,Inhibition of human GSK3beta using phospho-CREB as substrate by beta counting method,2012.0
,O=C(NCCc1cccnc1Cl)c1ccnc2[nH]c(-c3ccoc3)nc12,IC50,9.0,nM,8.05,Glycogen synthase kinase-3 beta,,,Inhibition of human GSK3beta using phospho-CREB as substrate by beta counting method,2012.0
,CNC(=O)c1sc(-c2ccnc(NC(=O)C3CC3)c2)nc1OCCOCc1cn(CCNc2c3c(nc4cc(Cl)ccc24)CCCC3)nn1,IC50,26.3,nM,7.58,Glycogen synthase kinase-3 beta,,INHIBITOR,Inhibition of recombinant human N-terminal His6-tagged GSK-3beta H350L mutant expressed in baculovirus infected Sf21 cells using GSM as substrate incubated for 30 mins in presence of ATP by kinase-glo luminescence assay,2020.0
,CNC(=O)c1sc(-c2ccnc(NC(=O)C3CC3)c2)nc1OCCOCc1cn(CCNc2c3c(nc4ccc(OC)cc24)CCCC3)nn1,IC50,31.0,nM,7.51,Glycogen synthase kinase-3 beta,,INHIBITOR,Inhibition of recombinant human N-terminal His6-tagged GSK-3beta H350L mutant expressed in baculovirus infected Sf21 cells using GSM as substrate incubated for 30 mins in presence of ATP by kinase-glo luminescence assay,2020.0
,CNC(=O)c1sc(-c2ccnc(NC(=O)CNCCNc3c4c(nc5ccccc35)CCCC4)c2)nc1OCC1CC1,IC50,22.0,nM,7.66,Glycogen synthase kinase-3 beta,,INHIBITOR,Inhibition of recombinant human N-terminal His6-tagged GSK-3beta H350L mutant expressed in baculovirus infected Sf21 cells using GSM as substrate incubated for 30 mins in presence of ATP by kinase-glo luminescence assay,2020.0
,Cc1ccc(-c2nnc(Nc3ccc(Cl)cc3)o2)cc1,IC50,1000.0,nM,,Glycogen synthase kinase-3 beta,,,Inhibition of recombinant GSK3-beta Z'-LYTE kinase assay kit method,2010.0
,CN(C)c1ccc(-c2nnc(Nc3ccc(Cl)cc3)o2)cc1,IC50,1000.0,nM,,Glycogen synthase kinase-3 beta,,,Inhibition of recombinant GSK3-beta Z'-LYTE kinase assay kit method,2010.0
,O=[N+]([O-])c1ccc(-c2nnc(Nc3ccc(Cl)cc3)o2)cc1,IC50,811.0,nM,6.09,Glycogen synthase kinase-3 beta,,,Inhibition of recombinant GSK3-beta Z'-LYTE kinase assay kit method,2010.0
,COc1ccc(Nc2nnc(-c3ccc(N(C)C)cc3)o2)cc1,IC50,1000.0,nM,,Glycogen synthase kinase-3 beta,,,Inhibition of recombinant GSK3-beta Z'-LYTE kinase assay kit method,2010.0
,CN(C)CCCn1nc(C2=C(c3cn(-c4csc5ccccc45)c4ccccc34)C(=O)NC2=O)c2ccccc21,IC50,4800.0,nM,5.32,Glycogen synthase kinase-3 beta,,,Inhibition of rabbit Glycogen synthase kinase-3 beta,2005.0
HYMENIALDISINE,NC1=NC(=O)/C(=C2\CCNC(=O)c3[nH]c(Br)cc32)N1,IC50,10.0,nM,8.0,Glycogen synthase kinase-3 beta,,,Inhibition of GSK3beta in human ReNcell VM cells after 3 hrs by immunoblotting technique,2012.0
,CC(C)OC(=O)N1CCn2cc(C3=C(c4cnc5ccccn45)C(=O)NC3=O)c3cccc(c32)C1,IC50,15.0,nM,7.82,Glycogen synthase kinase-3 beta,,,Inhibition of Glycogen synthase kinase-3 beta dependent Tau protein serine-396 phosphorylation in human SY5Y cells,2004.0
,CC(C)n1c(=O)n(-c2ccccc2)c2nc(Nc3ccccc3)ncc21,IC50,2900.0,nM,5.54,Glycogen synthase kinase-3 beta,,,Inhibition of GSK3-beta,2008.0
